Distribution,BR_RMSE,MC_RMSE,BA_RMSE,BR_MAE,MC_MAE,BA_MAE,BR_Agree,MC_Agree,BA_Agree,Power_BR,Power_MC,Power_BA,Power_EX,TypeI_BR,TypeI_MC,TypeI_BA,TypeI_EX
Exponential,0.0528608279057273,0.0143388031019017,0.711350517950878,0.0363122025252525,0.00937105963480964,0.638221572584823,0.959166666666667,0.996666666666667,0.773333333333333,0.378333333333333,0.406666666666667,0,0.41,0.0433333333333333,0.0433333333333333,0,0.0433333333333333
Gamma,0.0547487846680275,0.0153194508145321,0.68075468122346,0.0376714680652681,0.0102568996114996,0.604153273374774,0.969166666666667,0.9975,0.844166666666667,0.251666666666667,0.261666666666667,0,0.265,0.045,0.0483333333333333,0,0.0466666666666667
Lognormal,0.0485347829933294,0.0133204255882065,0.768226452803063,0.0306101118622119,0.00807184617974618,0.69879410947941,0.958333333333333,0.995,0.635,0.65,0.698333333333333,0,0.7,0.0266666666666667,0.0283333333333333,0,0.03
Normal,0.0569541413860021,0.0153139358188792,0.647076514571668,0.0391966472675473,0.0103392375032375,0.564432546102046,0.968333333333333,0.993333333333333,0.875,0.201666666666667,0.208333333333333,0,0.21,0.0383333333333333,0.0383333333333333,0,0.04
Uniform,0.056455494816521,0.0157524978223564,0.645553584384574,0.0389992508288008,0.0108653591686092,0.565577495376846,0.978333333333333,0.993333333333333,0.873333333333333,0.198333333333333,0.2,0,0.203333333333333,0.045,0.05,0,0.05
